x
1;349
2;353
3;358
4;346
5;356
6;353
7;340
8;345
9;361
10;327
11;348
12;337
13;359
14;366
15;351
16;377
17;360
18;346
19;332
20;356
21;327
22;359
23;323
24;358
25;349
26;352
27;343
28;345
29;350
30;357
31;335
32;322
33;359
34;378
35;356
36;330
37;338
38;341
39;359
40;374
41;339
42;344
43;345
44;342
45;353
46;347
47;338
48;349
49;346
50;362
51;353
52;338
53;336
54;352
55;346
56;327
57;353
58;374
59;348
60;343
61;346
62;345
63;314
64;324
65;354
66;329
67;343
68;358
69;366
70;364
71;338
72;363
73;363
74;369
75;336
76;356
77;370
78;357
79;342
80;343
81;356
82;334
83;376
84;345
85;324
86;366
87;358
88;350
89;344
90;336
91;371
92;366
93;351
94;361
95;346
96;349
97;349
98;357
99;364
100;347
101;374
102;334
103;367
104;344
105;345
106;346
107;375
108;328
109;361
110;347
111;355
112;349
113;346
114;340
115;327
116;333
117;348
118;328
119;354
120;347
121;363
122;350
123;335
124;358
125;368
126;322
127;357
128;353
129;340
130;359
