Wert 1 : Wirkleistung L1 (1 s) [umg604-7000-6277]
Nummer;Zeit;Wert 1-avg[W];Wert 1-min[W];Wert 1-max[W];
1;19.12.17 00:00:01;63,660;63,516;63,795;
2;19.12.17 00:00:02;63,590;63,515;63,672;
3;19.12.17 00:00:03;63,571;63,462;63,780;
4;19.12.17 00:00:04;63,542;63,424;63,647;
5;19.12.17 00:00:05;63,663;63,559;63,840;
6;19.12.17 00:00:06;63,580;63,512;63,655;
7;19.12.17 00:00:07;63,599;63,403;63,800;
8;19.12.17 00:00:08;63,591;63,388;63,772;
9;19.12.17 00:00:09;63,489;63,339;63,648;
10;19.12.17 00:00:10;63,460;63,303;63,619;
11;19.12.17 00:00:11;63,470;63,247;63,629;
12;19.12.17 00:00:12;63,433;63,359;63,511;
13;19.12.17 00:00:13;63,431;63,291;63,543;
14;19.12.17 00:00:14;63,418;63,348;63,603;
15;19.12.17 00:00:15;63,468;63,359;63,526;
16;19.12.17 00:00:16;63,404;63,221;63,580;
17;19.12.17 00:00:17;63,441;63,348;63,574;
18;19.12.17 00:00:18;63,449;63,366;63,641;
19;19.12.17 00:00:19;63,403;63,253;63,531;
20;19.12.17 00:00:20;63,410;63,271;63,632;
21;19.12.17 00:00:21;63,454;63,307;63,604;
22;19.12.17 00:00:22;63,477;63,251;63,599;
23;19.12.17 00:00:23;63,464;63,307;63,709;
24;19.12.17 00:00:24;63,425;63,316;63,514;
25;19.12.17 00:00:25;63,429;63,260;63,593;
26;19.12.17 00:00:26;63,448;63,356;63,630;
27;19.12.17 00:00:27;63,487;63,390;63,575;
28;19.12.17 00:00:28;63,460;63,382;63,610;
29;19.12.17 00:00:29;63,487;63,336;63,590;
30;19.12.17 00:00:30;63,443;63,331;63,579;
31;19.12.17 00:00:31;63,431;63,262;63,632;
32;19.12.17 00:00:32;63,398;63,227;63,555;
33;19.12.17 00:00:33;63,551;63,463;63,638;
34;19.12.17 00:00:34;63,479;63,318;63,680;
35;19.12.17 00:00:35;63,369;63,205;63,546;
36;19.12.17 00:00:36;63,391;63,262;63,452;
37;19.12.17 00:00:37;63,415;63,346;63,552;
38;19.12.17 00:00:38;63,462;63,300;63,638;
39;19.12.17 00:00:39;63,418;63,302;63,532;
40;19.12.17 00:00:40;63,439;63,268;63,587;
41;19.12.17 00:00:41;63,410;63,241;63,544;
42;19.12.17 00:00:42;63,384;63,291;63,480;
43;19.12.17 00:00:43;63,400;63,318;63,511;
44;19.12.17 00:00:44;63,418;63,317;63,675;
45;19.12.17 00:00:45;63,488;63,306;63,625;
46;19.12.17 00:00:46;63,371;63,303;63,421;
47;19.12.17 00:00:47;63,333;63,224;63,421;
48;19.12.17 00:00:48;63,432;63,340;63,515;
49;19.12.17 00:00:49;63,471;63,246;63,703;
50;19.12.17 00:00:50;63,439;63,315;63,554;
51;19.12.17 00:00:51;63,390;63,289;63,473;
52;19.12.17 00:00:52;63,506;63,313;63,763;
53;19.12.17 00:00:53;63,517;63,403;63,621;
54;19.12.17 00:00:54;63,498;63,404;63,541;
55;19.12.17 00:00:55;63,507;63,377;63,611;
56;19.12.17 00:00:56;63,487;63,373;63,570;
57;19.12.17 00:00:57;63,437;63,270;63,664;
58;19.12.17 00:00:58;63,489;63,415;63,544;
59;19.12.17 00:00:59;63,440;63,302;63,564;
60;19.12.17 00:01:00;63,454;63,370;63,609;
61;19.12.17 00:01:01;63,549;63,443;63,602;
62;19.12.17 00:01:02;63,454;63,409;63,497;
63;19.12.17 00:01:03;63,426;63,292;63,613;
64;19.12.17 00:01:04;63,472;63,362;63,635;
65;19.12.17 00:01:05;63,437;63,285;63,676;
66;19.12.17 00:01:06;63,528;63,307;63,681;
67;19.12.17 00:01:07;63,455;63,345;63,566;
68;19.12.17 00:01:08;63,698;63,484;63,816;
69;19.12.17 00:01:09;63,543;63,474;63,657;
70;19.12.17 00:01:10;63,636;63,498;63,742;
71;19.12.17 00:01:11;63,554;63,300;63,753;
72;19.12.17 00:01:12;63,530;63,427;63,615;
73;19.12.17 00:01:13;63,626;63,492;63,741;
74;19.12.17 00:01:14;63,549;63,431;63,653;
75;19.12.17 00:01:15;63,621;63,310;63,839;
76;19.12.17 00:01:16;63,520;63,402;63,600;
77;19.12.17 00:01:17;63,650;63,381;63,856;
78;19.12.17 00:01:18;63,640;63,471;63,886;
79;19.12.17 00:01:19;63,478;63,310;63,620;
80;19.12.17 00:01:20;63,389;63,170;63,510;
81;19.12.17 00:01:21;63,414;63,258;63,503;
82;19.12.17 00:01:22;63,453;63,353;63,615;
83;19.12.17 00:01:23;63,437;63,256;63,501;
84;19.12.17 00:01:24;63,481;63,384;63,585;
85;19.12.17 00:01:25;63,373;63,273;63,457;
86;19.12.17 00:01:26;63,461;63,275;63,576;
87;19.12.17 00:01:27;63,353;63,198;63,580;
88;19.12.17 00:01:28;63,505;63,388;63,668;
89;19.12.17 00:01:29;63,413;63,184;63,596;
90;19.12.17 00:01:30;63,433;63,287;63,506;
91;19.12.17 00:01:31;63,472;63,241;63,661;
92;19.12.17 00:01:32;63,434;63,324;63,536;
93;19.12.17 00:01:33;63,453;63,409;63,509;
94;19.12.17 00:01:34;63,455;63,304;63,569;
95;19.12.17 00:01:35;63,434;63,366;63,579;
96;19.12.17 00:01:36;63,439;63,225;63,638;
97;19.12.17 00:01:37;63,420;63,346;63,495;
98;19.12.17 00:01:38;63,509;63,435;63,605;
99;19.12.17 00:01:39;63,393;63,322;63,468;
100;19.12.17 00:01:40;63,446;63,347;63,540;
101;19.12.17 00:01:41;63,383;63,230;63,500;
102;19.12.17 00:01:42;63,453;63,377;63,509;
103;19.12.17 00:01:43;63,429;63,404;63,476;
104;19.12.17 00:01:44;63,353;63,240;63,495;
105;19.12.17 00:01:45;63,415;63,251;63,630;
106;19.12.17 00:01:46;63,334;63,269;63,384;
107;19.12.17 00:01:47;63,453;63,341;63,567;
108;19.12.17 00:01:48;63,317;63,227;63,374;
109;19.12.17 00:01:49;63,442;63,352;63,550;
110;19.12.17 00:01:50;63,400;63,246;63,539;
111;19.12.17 00:01:51;63,415;63,271;63,640;
112;19.12.17 00:01:52;63,371;63,227;63,539;
113;19.12.17 00:01:53;63,467;63,221;63,739;
114;19.12.17 00:01:54;63,426;63,283;63,591;
115;19.12.17 00:01:55;63,427;63,264;63,579;
116;19.12.17 00:01:56;63,523;63,381;63,667;
117;19.12.17 00:01:57;63,522;63,338;63,688;
118;19.12.17 00:01:58;63,598;63,456;63,775;
119;19.12.17 00:01:59;63,474;63,371;63,596;
120;19.12.17 00:02:00;63,517;63,475;63,559;
121;19.12.17 00:02:01;63,486;63,421;63,565;
122;19.12.17 00:02:02;63,507;63,388;63,729;
123;19.12.17 00:02:03;63,590;63,467;63,763;
124;19.12.17 00:02:04;63,639;63,505;63,761;
125;19.12.17 00:02:05;63,572;63,457;63,733;
126;19.12.17 00:02:06;63,618;63,408;63,757;
127;19.12.17 00:02:07;63,743;63,452;63,883;
128;19.12.17 00:02:08;63,695;63,502;63,772;
129;19.12.17 00:02:09;63,773;63,546;63,954;
130;19.12.17 00:02:10;63,712;63,659;63,794;
131;19.12.17 00:02:11;63,842;63,659;64,205;
132;19.12.17 00:02:12;63,753;63,605;63,884;
133;19.12.17 00:02:13;63,729;63,547;63,964;
134;19.12.17 00:02:14;63,906;63,691;64,178;
135;19.12.17 00:02:15;63,685;63,584;63,791;
136;19.12.17 00:02:16;63,810;63,689;63,916;
137;19.12.17 00:02:17;63,693;63,595;63,885;
138;19.12.17 00:02:18;63,888;63,761;64,119;
139;19.12.17 00:02:19;63,839;63,768;63,885;
140;19.12.17 00:02:20;63,880;63,782;64,073;
141;19.12.17 00:02:21;63,790;63,746;63,841;
142;19.12.17 00:02:22;63,897;63,709;64,042;
143;19.12.17 00:02:23;63,917;63,756;64,037;
144;19.12.17 00:02:24;63,744;63,690;63,823;
145;19.12.17 00:02:25;63,902;63,574;64,097;
146;19.12.17 00:02:26;63,767;63,614;63,994;
147;19.12.17 00:02:27;63,833;63,698;63,941;
148;19.12.17 00:02:28;63,699;63,639;63,826;
149;19.12.17 00:02:29;63,539;63,382;63,725;
