Wert 1 : Wirkleistung L1 (1 s) [umg604-7000-6277]
Nummer;Zeit;Wert 1-avg[W];Wert 1-min[W];Wert 1-max[W];
124;20.12.17 00:02:04;63,786;63,676;63,853;
125;20.12.17 00:02:05;63,776;63,627;64,019;
126;20.12.17 00:02:06;63,910;63,726;64,117;
127;20.12.17 00:02:07;63,890;63,700;64,041;
128;20.12.17 00:02:08;63,812;63,690;63,896;
129;20.12.17 00:02:09;63,957;63,787;64,423;
130;20.12.17 00:02:10;63,808;63,630;63,942;
131;20.12.17 00:02:11;63,849;63,776;63,910;
132;20.12.17 00:02:12;63,815;63,709;63,974;
133;20.12.17 00:02:13;63,902;63,747;64,195;
134;20.12.17 00:02:14;63,813;63,672;63,969;
135;20.12.17 00:02:15;63,881;63,698;64,087;
136;20.12.17 00:02:16;63,894;63,646;63,983;
137;20.12.17 00:02:17;63,872;63,755;64,076;
138;20.12.17 00:02:18;63,916;63,777;64,165;
139;20.12.17 00:02:19;64,000;63,731;64,488;
140;20.12.17 00:02:20;63,924;63,730;64,191;
141;20.12.17 00:02:21;63,874;63,683;64,051;
142;20.12.17 00:02:22;63,906;63,784;64,018;
143;20.12.17 00:02:23;63,853;63,716;64,008;
144;20.12.17 00:02:24;63,864;63,806;63,966;
145;20.12.17 00:02:25;63,822;63,705;63,908;
146;20.12.17 00:02:26;63,799;63,666;64,031;
147;20.12.17 00:02:27;63,807;63,636;63,906;
148;20.12.17 00:02:28;63,754;63,616;63,856;
149;20.12.17 00:02:29;63,779;63,734;63,816;
150;20.12.17 00:02:30;63,738;63,664;63,879;
151;20.12.17 00:02:31;63,779;63,639;63,923;
152;20.12.17 00:02:32;63,820;63,748;63,918;
153;20.12.17 00:02:33;63,703;63,630;63,786;
154;20.12.17 00:02:34;63,634;63,441;63,837;
155;20.12.17 00:02:35;63,364;63,281;63,471;
156;20.12.17 00:02:36;63,401;63,266;63,535;
157;20.12.17 00:02:37;63,421;63,341;63,520;
158;20.12.17 00:02:38;63,376;63,249;63,517;
159;20.12.17 00:02:39;63,316;63,190;63,440;
160;20.12.17 00:02:40;63,404;63,296;63,579;
161;20.12.17 00:02:41;63,401;63,210;63,575;
162;20.12.17 00:02:42;63,368;63,266;63,470;
163;20.12.17 00:02:43;63,392;63,238;63,493;
164;20.12.17 00:02:44;63,323;63,210;63,401;
165;20.12.17 00:02:45;63,426;63,286;63,604;
166;20.12.17 00:02:46;63,329;63,190;63,461;
167;20.12.17 00:02:47;63,453;63,284;63,584;
168;20.12.17 00:02:48;63,285;63,157;63,456;
169;20.12.17 00:02:49;63,346;63,192;63,454;
170;20.12.17 00:02:50;63,415;63,223;63,583;
171;20.12.17 00:02:51;63,389;63,216;63,561;
172;20.12.17 00:02:52;63,441;63,356;63,563;
173;20.12.17 00:02:53;63,342;63,222;63,415;
174;20.12.17 00:02:54;63,447;63,341;63,657;
175;20.12.17 00:02:55;63,400;63,309;63,534;
176;20.12.17 00:02:56;63,504;63,322;63,608;
177;20.12.17 00:02:57;63,450;63,230;63,621;
178;20.12.17 00:02:58;63,398;63,234;63,494;
179;20.12.17 00:02:59;63,433;63,303;63,611;
180;20.12.17 00:03:00;63,416;63,254;63,582;
181;20.12.17 00:03:01;63,445;63,349;63,538;
182;20.12.17 00:03:02;63,452;63,372;63,564;
183;20.12.17 00:03:03;63,410;63,250;63,499;
184;20.12.17 00:03:04;63,435;63,373;63,514;
185;20.12.17 00:03:05;63,484;63,227;63,742;
186;20.12.17 00:03:06;63,419;63,307;63,528;
187;20.12.17 00:03:07;63,462;63,294;63,647;
188;20.12.17 00:03:08;63,430;63,362;63,499;
189;20.12.17 00:03:09;63,504;63,340;63,878;
190;20.12.17 00:03:10;63,750;63,657;63,813;
191;20.12.17 00:03:11;63,725;63,649;63,808;
192;20.12.17 00:03:12;63,712;63,633;63,773;
193;20.12.17 00:03:13;63,737;63,612;63,897;
194;20.12.17 00:03:14;63,722;63,598;63,782;
195;20.12.17 00:03:15;63,739;63,649;63,853;
196;20.12.17 00:03:16;63,713;63,660;63,792;
197;20.12.17 00:03:17;63,722;63,596;63,808;
198;20.12.17 00:03:18;63,694;63,518;63,884;
199;20.12.17 00:03:19;63,717;63,566;63,896;
200;20.12.17 00:03:20;63,764;63,553;63,948;
201;20.12.17 00:03:21;63,767;63,619;63,917;
202;20.12.17 00:03:22;63,759;63,631;63,890;
203;20.12.17 00:03:23;63,729;63,580;63,849;
204;20.12.17 00:03:24;63,777;63,610;63,947;
205;20.12.17 00:03:25;63,720;63,597;63,790;
206;20.12.17 00:03:26;63,744;63,635;63,955;
207;20.12.17 00:03:27;63,821;63,724;63,898;
208;20.12.17 00:03:28;63,708;63,563;63,894;
209;20.12.17 00:03:29;63,747;63,606;63,907;
210;20.12.17 00:03:30;63,722;63,646;63,813;
211;20.12.17 00:03:31;63,706;63,656;63,763;
212;20.12.17 00:03:32;63,678;63,621;63,790;
213;20.12.17 00:03:33;63,799;63,690;63,984;
214;20.12.17 00:03:34;63,693;63,534;63,818;
215;20.12.17 00:03:35;63,781;63,594;64,074;
216;20.12.17 00:03:36;63,757;63,498;63,984;
217;20.12.17 00:03:37;63,756;63,577;64,029;
218;20.12.17 00:03:38;63,735;63,588;63,804;
219;20.12.17 00:03:39;63,660;63,594;63,704;
220;20.12.17 00:03:40;63,755;63,528;63,944;
221;20.12.17 00:03:41;63,655;63,506;63,785;
222;20.12.17 00:03:42;63,706;63,601;63,868;
223;20.12.17 00:03:43;63,671;63,495;63,776;
224;20.12.17 00:03:44;63,640;63,583;63,694;
225;20.12.17 00:03:45;63,711;63,547;63,788;
226;20.12.17 00:03:46;63,611;63,538;63,718;
227;20.12.17 00:03:47;63,775;63,735;63,857;
228;20.12.17 00:03:48;63,719;63,551;64,087;
229;20.12.17 00:03:49;63,723;63,639;63,823;
230;20.12.17 00:03:50;63,703;63,606;63,790;
231;20.12.17 00:03:51;63,673;63,554;63,755;
232;20.12.17 00:03:52;63,744;63,625;63,874;
233;20.12.17 00:03:53;63,709;63,628;63,883;
234;20.12.17 00:03:54;63,758;63,538;63,857;
235;20.12.17 00:03:55;63,498;63,371;63,666;
236;20.12.17 00:03:56;63,624;63,507;63,866;
237;20.12.17 00:03:57;63,461;63,285;63,639;
238;20.12.17 00:03:58;63,549;63,383;63,709;
239;20.12.17 00:03:59;63,627;63,540;63,748;
240;20.12.17 00:04:00;63,544;63,429;63,856;
241;20.12.17 00:04:01;63,751;63,526;63,988;
242;20.12.17 00:04:02;63,524;63,430;63,724;
243;20.12.17 00:04:03;63,584;63,307;63,758;
244;20.12.17 00:04:04;63,550;63,457;63,811;
245;20.12.17 00:04:05;63,522;63,361;63,735;
246;20.12.17 00:04:06;63,700;63,499;63,859;
247;20.12.17 00:04:07;63,731;63,567;63,910;
248;20.12.17 00:04:08;63,701;63,593;63,799;
249;20.12.17 00:04:09;63,638;63,551;63,759;
250;20.12.17 00:04:10;63,682;63,596;63,753;
251;20.12.17 00:04:11;63,643;63,520;63,771;
252;20.12.17 00:04:12;63,723;63,583;63,877;
253;20.12.17 00:04:13;63,686;63,593;63,768;
254;20.12.17 00:04:14;63,681;63,578;63,887;
255;20.12.17 00:04:15;63,754;63,576;63,908;
256;20.12.17 00:04:16;63,778;63,700;63,897;
257;20.12.17 00:04:17;63,833;63,680;63,943;
258;20.12.17 00:04:18;63,797;63,704;63,943;
259;20.12.17 00:04:19;63,832;63,748;63,945;
260;20.12.17 00:04:20;63,792;63,724;63,842;
261;20.12.17 00:04:21;63,843;63,699;63,940;
262;20.12.17 00:04:22;63,823;63,762;63,897;
263;20.12.17 00:04:23;63,830;63,744;63,901;
264;20.12.17 00:04:24;63,833;63,718;63,937;
265;20.12.17 00:04:25;63,788;63,741;63,878;
266;20.12.17 00:04:26;63,865;63,729;63,972;
267;20.12.17 00:04:27;63,794;63,680;63,878;
268;20.12.17 00:04:28;63,816;63,755;63,872;
269;20.12.17 00:04:29;63,800;63,716;63,908;
270;20.12.17 00:04:30;63,782;63,696;63,882;
271;20.12.17 00:04:31;63,828;63,682;63,923;
272;20.12.17 00:04:32;63,779;63,704;63,898;
273;20.12.17 00:04:33;63,822;63,692;63,894;
274;20.12.17 00:04:34;63,776;63,656;63,865;
275;20.12.17 00:04:35;63,787;63,736;63,842;
276;20.12.17 00:04:36;63,780;63,702;63,852;
277;20.12.17 00:04:37;63,766;63,672;63,833;
278;20.12.17 00:04:38;63,790;63,668;63,898;
279;20.12.17 00:04:39;63,733;63,674;63,863;
280;20.12.17 00:04:40;63,804;63,748;63,844;
281;20.12.17 00:04:41;63,726;63,629;63,803;
282;20.12.17 00:04:42;63,763;63,652;63,886;
283;20.12.17 00:04:43;63,804;63,691;63,940;
284;20.12.17 00:04:44;63,793;63,696;63,883;
285;20.12.17 00:04:45;63,841;63,720;63,911;
286;20.12.17 00:04:46;63,780;63,709;63,919;
287;20.12.17 00:04:47;63,839;63,715;63,893;
288;20.12.17 00:04:48;63,833;63,756;63,909;
289;20.12.17 00:04:49;63,820;63,699;63,889;
290;20.12.17 00:04:50;63,814;63,723;63,906;
291;20.12.17 00:04:51;63,815;63,730;63,891;
292;20.12.17 00:04:52;63,860;63,809;63,927;
293;20.12.17 00:04:53;63,791;63,681;63,899;
294;20.12.17 00:04:54;63,844;63,724;63,956;
295;20.12.17 00:04:55;63,759;63,700;63,820;
296;20.12.17 00:04:56;63,829;63,747;63,914;
297;20.12.17 00:04:57;63,763;63,675;63,837;
298;20.12.17 00:04:58;63,730;63,630;63,839;
299;20.12.17 00:04:59;63,697;63,602;63,847;
300;20.12.17 00:05:00;63,713;63,627;63,775;
301;20.12.17 00:05:01;63,870;63,777;63,945;
302;20.12.17 00:05:02;63,755;63,566;63,882;
303;20.12.17 00:05:03;63,694;63,543;63,811;
304;20.12.17 00:05:04;63,701;63,516;63,782;
305;20.12.17 00:05:05;63,767;63,686;63,843;
306;20.12.17 00:05:06;63,711;63,583;63,830;
307;20.12.17 00:05:07;63,678;63,549;63,887;
308;20.12.17 00:05:08;63,687;63,639;63,854;
309;20.12.17 00:05:09;63,677;63,509;63,855;
310;20.12.17 00:05:10;63,726;63,569;63,830;
311;20.12.17 00:05:11;63,703;63,587;63,814;
312;20.12.17 00:05:12;63,687;63,531;63,812;
313;20.12.17 00:05:13;63,727;63,609;63,821;
314;20.12.17 00:05:14;63,730;63,671;63,857;
315;20.12.17 00:05:15;63,775;63,570;63,919;
316;20.12.17 00:05:16;63,738;63,641;63,828;
317;20.12.17 00:05:17;63,710;63,596;63,794;
318;20.12.17 00:05:18;63,736;63,636;63,946;
319;20.12.17 00:05:19;63,730;63,678;63,803;
320;20.12.17 00:05:20;63,826;63,625;64,008;
321;20.12.17 00:05:21;63,713;63,649;63,823;
322;20.12.17 00:05:22;63,748;63,668;63,826;
323;20.12.17 00:05:23;63,783;63,673;63,877;
324;20.12.17 00:05:24;63,735;63,622;63,840;
325;20.12.17 00:05:25;63,692;63,592;63,792;
326;20.12.17 00:05:26;63,686;63,593;63,772;
327;20.12.17 00:05:27;63,703;63,605;63,850;
328;20.12.17 00:05:28;63,680;63,592;63,727;
329;20.12.17 00:05:29;63,788;63,625;64,041;
330;20.12.17 00:05:30;63,687;63,509;63,884;
331;20.12.17 00:05:31;63,722;63,636;63,839;
332;20.12.17 00:05:32;63,743;63,619;63,967;
333;20.12.17 00:05:33;63,689;63,550;63,882;
334;20.12.17 00:05:34;63,733;63,625;63,824;
335;20.12.17 00:05:35;63,792;63,692;63,891;
336;20.12.17 00:05:36;63,814;63,643;63,940;
337;20.12.17 00:05:37;63,907;63,761;64,149;
338;20.12.17 00:05:38;63,855;63,781;63,971;
339;20.12.17 00:05:39;63,867;63,629;64,097;
340;20.12.17 00:05:40;63,838;63,685;64,006;
341;20.12.17 00:05:41;63,798;63,655;63,961;
342;20.12.17 00:05:42;63,878;63,708;64,019;
343;20.12.17 00:05:43;63,872;63,757;64,014;
344;20.12.17 00:05:44;63,836;63,737;63,955;
345;20.12.17 00:05:45;63,900;63,659;64,452;
346;20.12.17 00:05:46;63,854;63,681;64,009;
347;20.12.17 00:05:47;63,997;63,856;64,153;
348;20.12.17 00:05:48;63,916;63,705;64,106;
349;20.12.17 00:05:49;63,839;63,737;63,990;
350;20.12.17 00:05:50;63,713;63,560;63,874;
351;20.12.17 00:05:51;63,426;63,298;63,537;
352;20.12.17 00:05:52;63,449;63,392;63,517;
353;20.12.17 00:05:53;63,432;63,301;63,576;
354;20.12.17 00:05:54;63,414;63,288;63,628;
355;20.12.17 00:05:55;63,403;63,252;63,555;
356;20.12.17 00:05:56;63,403;63,264;63,588;
357;20.12.17 00:05:57;63,430;63,357;63,518;
358;20.12.17 00:05:58;63,432;63,203;63,813;
359;20.12.17 00:05:59;63,410;63,227;63,553;
360;20.12.17 00:06:00;63,433;63,273;63,496;
361;20.12.17 00:06:01;63,418;63,211;63,752;
362;20.12.17 00:06:02;63,420;63,250;63,711;
363;20.12.17 00:06:03;63,357;63,137;63,588;
364;20.12.17 00:06:04;63,481;63,344;63,666;
365;20.12.17 00:06:05;63,550;63,356;63,762;
366;20.12.17 00:06:06;63,651;63,535;63,733;
367;20.12.17 00:06:07;63,603;63,389;63,762;
368;20.12.17 00:06:08;63,666;63,590;63,732;
369;20.12.17 00:06:09;63,662;63,526;63,860;
370;20.12.17 00:06:10;63,643;63,563;63,735;
371;20.12.17 00:06:11;63,610;63,381;63,753;
372;20.12.17 00:06:12;63,639;63,507;64,013;
373;20.12.17 00:06:13;63,587;63,472;63,723;
374;20.12.17 00:06:14;63,630;63,402;63,758;
375;20.12.17 00:06:15;63,647;63,562;63,715;
376;20.12.17 00:06:16;63,549;63,353;63,699;
377;20.12.17 00:06:17;63,541;63,483;63,646;
378;20.12.17 00:06:18;63,580;63,542;63,667;
379;20.12.17 00:06:19;63,534;63,331;63,658;
380;20.12.17 00:06:20;63,688;63,329;64,133;
381;20.12.17 00:06:21;63,578;63,448;63,924;
382;20.12.17 00:06:22;63,641;63,442;63,766;
383;20.12.17 00:06:23;63,780;63,519;64,296;
384;20.12.17 00:06:24;63,662;63,370;64,191;
385;20.12.17 00:06:25;63,768;63,668;63,958;
386;20.12.17 00:06:26;63,701;63,607;63,808;
387;20.12.17 00:06:27;63,759;63,668;63,897;
388;20.12.17 00:06:28;63,704;63,571;63,821;
389;20.12.17 00:06:29;63,728;63,554;63,891;
390;20.12.17 00:06:30;63,681;63,585;63,807;
391;20.12.17 00:06:31;63,724;63,624;63,800;
392;20.12.17 00:06:32;63,684;63,547;63,793;
393;20.12.17 00:06:33;63,647;63,578;63,799;
394;20.12.17 00:06:34;63,583;63,385;63,843;
395;20.12.17 00:06:35;63,388;63,188;63,624;
396;20.12.17 00:06:36;63,402;63,260;63,544;
397;20.12.17 00:06:37;63,517;63,334;63,709;
398;20.12.17 00:06:38;63,399;63,330;63,476;
399;20.12.17 00:06:39;63,512;63,423;63,598;
400;20.12.17 00:06:40;63,436;63,354;63,614;
401;20.12.17 00:06:41;63,536;63,324;63,786;
402;20.12.17 00:06:42;63,384;63,302;63,488;
403;20.12.17 00:06:43;63,473;63,389;63,594;
404;20.12.17 00:06:44;63,450;63,295;63,533;
405;20.12.17 00:06:45;63,461;63,340;63,678;
406;20.12.17 00:06:46;63,701;63,602;63,817;
407;20.12.17 00:06:47;63,638;63,550;63,730;
408;20.12.17 00:06:48;63,716;63,613;63,915;
409;20.12.17 00:06:49;63,664;63,559;63,721;
410;20.12.17 00:06:50;63,654;63,556;63,714;
411;20.12.17 00:06:51;63,679;63,581;63,802;
412;20.12.17 00:06:52;63,614;63,509;63,698;
413;20.12.17 00:06:53;63,696;63,568;63,858;
414;20.12.17 00:06:54;63,501;63,312;63,607;
415;20.12.17 00:06:55;63,515;63,353;63,669;
416;20.12.17 00:06:56;63,336;63,141;63,524;
417;20.12.17 00:06:57;63,362;63,272;63,522;
418;20.12.17 00:06:58;63,410;63,222;63,511;
419;20.12.17 00:06:59;63,456;63,306;63,562;
420;20.12.17 00:07:00;63,532;63,332;63,867;
421;20.12.17 00:07:01;63,444;63,252;63,724;
422;20.12.17 00:07:02;63,489;63,390;63,745;
423;20.12.17 00:07:03;63,401;63,155;63,672;
424;20.12.17 00:07:04;63,592;63,387;63,763;
425;20.12.17 00:07:05;63,641;63,318;64,200;
426;20.12.17 00:07:06;63,571;63,136;64,070;
427;20.12.17 00:07:07;63,514;63,254;63,714;
428;20.12.17 00:07:08;63,561;63,403;63,769;
429;20.12.17 00:07:09;63,811;63,600;64,142;
430;20.12.17 00:07:10;63,788;63,674;63,964;
431;20.12.17 00:07:11;63,767;63,556;64,072;
432;20.12.17 00:07:12;63,832;63,771;63,928;
433;20.12.17 00:07:13;63,787;63,653;63,961;
434;20.12.17 00:07:14;63,784;63,583;63,870;
435;20.12.17 00:07:15;63,756;63,569;64,047;
436;20.12.17 00:07:16;63,786;63,650;63,935;
437;20.12.17 00:07:17;63,763;63,654;63,879;
438;20.12.17 00:07:18;63,794;63,565;64,168;
439;20.12.17 00:07:19;63,862;63,775;63,997;
440;20.12.17 00:07:20;63,884;63,730;64,017;
441;20.12.17 00:07:21;63,865;63,786;63,909;
442;20.12.17 00:07:22;63,788;63,589;64,125;
443;20.12.17 00:07:23;63,812;63,646;63,903;
444;20.12.17 00:07:24;63,892;63,805;63,973;
445;20.12.17 00:07:25;63,823;63,559;63,937;
446;20.12.17 00:07:26;63,774;63,694;63,841;
447;20.12.17 00:07:27;63,843;63,740;64,003;
448;20.12.17 00:07:28;63,776;63,711;63,839;
449;20.12.17 00:07:29;63,676;63,511;63,910;
450;20.12.17 00:07:30;63,610;63,507;63,730;
451;20.12.17 00:07:31;63,531;63,404;63,752;
452;20.12.17 00:07:32;63,653;63,461;63,869;
453;20.12.17 00:07:33;63,651;63,546;63,743;
454;20.12.17 00:07:34;63,544;63,434;63,609;
455;20.12.17 00:07:35;63,696;63,616;63,811;
456;20.12.17 00:07:36;63,553;63,333;63,833;
457;20.12.17 00:07:37;63,584;63,494;63,703;
458;20.12.17 00:07:38;63,668;63,531;63,796;
459;20.12.17 00:07:39;63,715;63,492;63,898;
460;20.12.17 00:07:40;63,691;63,554;63,855;
461;20.12.17 00:07:41;63,715;63,664;63,757;
462;20.12.17 00:07:42;63,751;63,739;63,771;
463;20.12.17 00:07:43;63,802;63,638;63,994;
464;20.12.17 00:07:44;63,711;63,594;63,985;
465;20.12.17 00:07:45;63,704;63,649;63,841;
466;20.12.17 00:07:46;63,789;63,676;63,893;
467;20.12.17 00:07:47;63,826;63,704;64,024;
468;20.12.17 00:07:48;63,690;63,560;63,819;
469;20.12.17 00:07:49;63,740;63,646;63,822;
470;20.12.17 00:07:50;63,743;63,602;63,883;
471;20.12.17 00:07:51;63,727;63,621;63,832;
472;20.12.17 00:07:52;63,720;63,528;64,027;
473;20.12.17 00:07:53;63,791;63,684;63,862;
474;20.12.17 00:07:54;63,782;63,616;63,940;
475;20.12.17 00:07:55;63,729;63,689;63,764;
476;20.12.17 00:07:56;63,769;63,704;63,824;
477;20.12.17 00:07:57;63,665;63,542;63,801;
478;20.12.17 00:07:58;63,687;63,524;63,805;
479;20.12.17 00:07:59;63,732;63,544;63,948;
480;20.12.17 00:08:00;63,716;63,651;63,826;
481;20.12.17 00:08:01;63,837;63,774;63,898;
482;20.12.17 00:08:02;63,832;63,669;63,937;
483;20.12.17 00:08:03;63,847;63,745;64,003;
484;20.12.17 00:08:04;63,789;63,679;63,910;
485;20.12.17 00:08:05;63,878;63,617;64,117;
486;20.12.17 00:08:06;63,810;63,647;63,965;
487;20.12.17 00:08:07;63,824;63,727;63,939;
488;20.12.17 00:08:08;63,812;63,698;63,874;
489;20.12.17 00:08:09;63,824;63,648;64,194;
490;20.12.17 00:08:10;63,806;63,607;64,076;
491;20.12.17 00:08:11;63,691;63,550;63,767;
492;20.12.17 00:08:12;63,681;63,557;63,807;
493;20.12.17 00:08:13;63,670;63,602;63,767;
494;20.12.17 00:08:14;63,694;63,612;63,815;
495;20.12.17 00:08:15;63,712;63,594;63,794;
496;20.12.17 00:08:16;63,683;63,566;63,797;
497;20.12.17 00:08:17;63,712;63,592;63,864;
498;20.12.17 00:08:18;63,657;63,543;63,783;
499;20.12.17 00:08:19;63,778;63,614;63,878;
500;20.12.17 00:08:20;63,845;63,718;64,039;
501;20.12.17 00:08:21;63,792;63,617;64,035;
502;20.12.17 00:08:22;63,860;63,783;63,921;
503;20.12.17 00:08:23;63,786;63,653;63,958;
504;20.12.17 00:08:24;63,832;63,659;64,053;
505;20.12.17 00:08:25;63,831;63,599;64,018;
506;20.12.17 00:08:26;63,658;63,431;63,958;
507;20.12.17 00:08:27;63,734;63,669;63,810;
508;20.12.17 00:08:28;63,669;63,624;63,829;
509;20.12.17 00:08:29;63,775;63,504;63,948;
510;20.12.17 00:08:30;63,697;63,609;63,884;
511;20.12.17 00:08:31;63,796;63,563;63,920;
512;20.12.17 00:08:32;63,699;63,627;63,869;
