Wert 1 : Wirkleistung L1 (1 s) [umg604-7000-6277]
Nummer;Zeit;Wert 1-avg[W];Wert 1-min[W];Wert 1-max[W];
1;20.12.17 00:00:01;63,830;63,618;64,121;
2;20.12.17 00:00:02;63,656;63,443;63,996;
3;20.12.17 00:00:03;63,477;63,353;63,575;
4;20.12.17 00:00:04;63,695;63,379;63,949;
5;20.12.17 00:00:05;63,590;63,414;63,715;
6;20.12.17 00:00:06;63,729;63,484;63,924;
7;20.12.17 00:00:07;63,636;63,313;64,037;
8;20.12.17 00:00:08;63,641;63,257;63,876;
9;20.12.17 00:00:09;63,618;63,465;63,939;
10;20.12.17 00:00:10;63,558;63,411;63,712;
11;20.12.17 00:00:11;63,460;63,276;63,627;
12;20.12.17 00:00:12;63,711;63,342;64,309;
13;20.12.17 00:00:13;63,364;63,253;63,630;
14;20.12.17 00:00:14;63,385;63,327;63,440;
15;20.12.17 00:00:15;63,536;63,331;63,772;
16;20.12.17 00:00:16;63,575;63,491;63,686;
17;20.12.17 00:00:17;63,638;63,293;64,439;
18;20.12.17 00:00:18;63,506;63,261;63,966;
19;20.12.17 00:00:19;63,625;63,417;64,119;
20;20.12.17 00:00:20;63,700;63,492;63,977;
21;20.12.17 00:00:21;63,474;63,179;63,791;
22;20.12.17 00:00:22;63,624;63,348;63,819;
23;20.12.17 00:00:23;63,586;63,424;63,775;
24;20.12.17 00:00:24;63,526;63,103;64,084;
25;20.12.17 00:00:25;63,375;63,253;63,509;
26;20.12.17 00:00:26;63,781;63,636;63,923;
27;20.12.17 00:00:27;63,456;63,274;63,702;
28;20.12.17 00:00:28;63,525;63,301;63,789;
29;20.12.17 00:00:29;63,430;63,264;63,682;
30;20.12.17 00:00:30;63,536;63,180;63,997;
31;20.12.17 00:00:31;63,581;63,339;63,744;
32;20.12.17 00:00:32;63,818;63,487;64,162;
33;20.12.17 00:00:33;63,969;63,862;64,070;
34;20.12.17 00:00:34;64,040;63,936;64,155;
35;20.12.17 00:00:35;63,979;63,863;64,139;
36;20.12.17 00:00:36;64,033;63,878;64,131;
37;20.12.17 00:00:37;63,991;63,903;64,069;
38;20.12.17 00:00:38;64,017;63,906;64,166;
39;20.12.17 00:00:39;64,007;63,909;64,090;
40;20.12.17 00:00:40;63,973;63,878;64,063;
41;20.12.17 00:00:41;64,052;63,975;64,096;
42;20.12.17 00:00:42;63,979;63,865;64,061;
43;20.12.17 00:00:43;63,991;63,922;64,040;
44;20.12.17 00:00:44;63,972;63,916;64,072;
45;20.12.17 00:00:45;64,098;63,980;64,275;
46;20.12.17 00:00:46;64,026;63,963;64,075;
47;20.12.17 00:00:47;64,047;63,954;64,209;
48;20.12.17 00:00:48;64,008;63,895;64,083;
49;20.12.17 00:00:49;64,029;63,879;64,187;
50;20.12.17 00:00:50;64,003;63,899;64,085;
51;20.12.17 00:00:51;63,977;63,838;64,145;
52;20.12.17 00:00:52;63,942;63,817;64,058;
53;20.12.17 00:00:53;63,908;63,748;64,137;
54;20.12.17 00:00:54;63,950;63,888;64,012;
55;20.12.17 00:00:55;63,869;63,782;63,978;
56;20.12.17 00:00:56;63,882;63,791;63,967;
57;20.12.17 00:00:57;63,940;63,778;64,176;
58;20.12.17 00:00:58;63,966;63,852;64,097;
59;20.12.17 00:00:59;63,994;63,892;64,091;
60;20.12.17 00:01:00;63,958;63,878;63,998;
61;20.12.17 00:01:01;63,979;63,852;64,123;
62;20.12.17 00:01:02;63,964;63,828;64,105;
63;20.12.17 00:01:03;63,984;63,879;64,096;
64;20.12.17 00:01:04;63,964;63,828;64,132;
65;20.12.17 00:01:05;63,966;63,866;64,072;
66;20.12.17 00:01:06;63,943;63,849;63,998;
67;20.12.17 00:01:07;63,978;63,914;64,109;
68;20.12.17 00:01:08;63,980;63,826;64,088;
69;20.12.17 00:01:09;63,933;63,842;64,024;
70;20.12.17 00:01:10;63,535;63,278;63,930;
71;20.12.17 00:01:11;63,398;63,315;63,516;
72;20.12.17 00:01:12;63,353;63,249;63,499;
73;20.12.17 00:01:13;63,342;63,269;63,445;
74;20.12.17 00:01:14;63,435;63,407;63,455;
75;20.12.17 00:01:15;63,371;63,240;63,523;
76;20.12.17 00:01:16;63,334;63,196;63,418;
77;20.12.17 00:01:17;63,309;63,151;63,473;
78;20.12.17 00:01:18;63,420;63,236;63,551;
79;20.12.17 00:01:19;63,355;63,290;63,453;
80;20.12.17 00:01:20;63,318;63,243;63,418;
81;20.12.17 00:01:21;63,332;63,230;63,379;
82;20.12.17 00:01:22;63,591;63,522;63,673;
83;20.12.17 00:01:23;63,586;63,472;63,751;
84;20.12.17 00:01:24;63,534;63,385;63,730;
85;20.12.17 00:01:25;63,557;63,417;63,646;
86;20.12.17 00:01:26;63,621;63,466;63,680;
87;20.12.17 00:01:27;63,551;63,300;63,733;
88;20.12.17 00:01:28;63,572;63,325;63,699;
89;20.12.17 00:01:29;63,528;63,444;63,667;
90;20.12.17 00:01:30;63,601;63,464;63,707;
91;20.12.17 00:01:31;63,626;63,528;63,690;
92;20.12.17 00:01:32;63,620;63,543;63,705;
93;20.12.17 00:01:33;63,601;63,485;63,701;
94;20.12.17 00:01:34;63,618;63,480;63,707;
95;20.12.17 00:01:35;63,621;63,548;63,688;
96;20.12.17 00:01:36;63,621;63,485;63,754;
97;20.12.17 00:01:37;63,645;63,482;63,724;
98;20.12.17 00:01:38;63,580;63,518;63,764;
99;20.12.17 00:01:39;63,616;63,519;63,666;
100;20.12.17 00:01:40;63,641;63,555;63,751;
101;20.12.17 00:01:41;63,719;63,618;63,869;
102;20.12.17 00:01:42;63,702;63,575;63,796;
103;20.12.17 00:01:43;63,692;63,589;63,772;
104;20.12.17 00:01:44;63,710;63,631;63,808;
105;20.12.17 00:01:45;63,669;63,544;63,770;
106;20.12.17 00:01:46;63,710;63,588;63,806;
107;20.12.17 00:01:47;63,704;63,604;63,848;
108;20.12.17 00:01:48;63,710;63,623;63,791;
109;20.12.17 00:01:49;63,706;63,644;63,819;
110;20.12.17 00:01:50;63,729;63,659;63,806;
111;20.12.17 00:01:51;63,682;63,573;63,774;
112;20.12.17 00:01:52;63,689;63,614;63,804;
113;20.12.17 00:01:53;63,718;63,653;63,787;
114;20.12.17 00:01:54;63,720;63,627;63,827;
115;20.12.17 00:01:55;63,792;63,659;63,877;
116;20.12.17 00:01:56;63,723;63,660;63,835;
117;20.12.17 00:01:57;63,824;63,698;64,088;
118;20.12.17 00:01:58;63,732;63,634;63,824;
119;20.12.17 00:01:59;63,731;63,636;63,828;
120;20.12.17 00:02:00;63,744;63,643;63,833;
121;20.12.17 00:02:01;63,750;63,652;63,840;
122;20.12.17 00:02:02;63,767;63,693;63,837;
123;20.12.17 00:02:03;63,740;63,654;63,834;
